Posted_On,Bedrooms,Rent,Size,Floor,Total_floor,Area_type,Area_locality,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_of_Contact
2022-06-06,2,166.67,1300,1,1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-20,2,76.67,400,3,3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-07-02,2,200,650,1,1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
2022-05-26,3,500,2000,1,2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-12,3,250,1068,1,3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,1,125,150,1,1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,125,450,2,2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-03,2,83.33,800,1,1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-23,2,250,1000,1,2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,183.33,900,5,5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-27,1,116.67,600,1,2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,100,1200,1,1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-19,2,100,1200,2,2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
2022-07-02,2,116.67,650,1,3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,141.67,720,4,4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-02,1,83.33,300,1,3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-21,3,500,1200,1,2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-04,2,166.67,700,7,8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-24,3,500,2000,1,3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,1,58.33,250,1,4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,133.33,1100,1,3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-02,1,83.33,300,1,2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,125,600,1,2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-18,2,108.33,800,1,2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,125,680,1,3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,1,125,680,1,2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,266.67,850,1,4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-26,2,266.67,850,1,2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-30,2,108.33,700,1,2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-22,3,666.67,1500,1,2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-18,2,208.33,950,1,4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,2,91.67,500,1,2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-25,1,83.33,450,2,4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-03,2,108.33,700,1,2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-12,1,133.33,500,1,2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-01,3,241.67,1800,1,2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,136.67,500,1,3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,250,480,1,3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-21,6,333.33,1000,1,1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,2,111.67,800,1,2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,166.67,435,2,3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-07,2,116.67,700,1,2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-25,2,366.67,800,4,4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
2022-06-27,2,108.33,450,1,3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-31,2,141.67,550,2,3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-03,2,300,800,1,4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
2022-06-27,2,200,550,1,2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-15,1,150,600,2,4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,1,100,500,1,1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,333.33,1000,1,2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,83.33,300,1,2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-28,2,200,1200,1,3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2022-06-23,2,166.67,500,3,4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,4,300,1200,1,2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-06-13,2,250,900,1,2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-13,3,366.67,1300,1,2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-13,4,583.33,1600,1,5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-14,3,350,1450,1,1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner
2022-07-06,2,416.67,1100,2,2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent
2022-06-16,2,3000,950,1,1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-06,1,100,600,8,5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,233.33,700,1,2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,3,133.33,750,1,2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner
2022-05-04,2,133.33,1000,1,1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-25,1,100,220,1,2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-21,1,133.33,300,1,3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-27,1,100,300,1,1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-02,1,333.33,700,1,2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-06,3,200,800,1,1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-28,3,250,1600,1,3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,2,233.33,1000,1,3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-30,1,83.33,20,2,3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-10,2,116.67,400,1,2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-23,1,65,200,2,2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-09,3,233.33,840,1,4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-06-19,1,105,300,1,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-07-03,2,216.67,550,1,2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2022-07-03,1,113.33,300,1,2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-14,2,133.33,800,1,1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,166.67,740,1,6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-25,2,300,1300,1,1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-13,2,133.33,650,1,1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,2,133.33,490,1,1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,78.33,250,2,2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,78.33,250,1,1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,1,75,450,1,2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-30,1,100,300,1,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-24,2,266.67,750,1,3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-01,1,78.33,250,1,2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,2,233.33,751,3,3,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-26,2,150,900,1,2,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-23,2,83.33,400,1,3,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-13,2,291.67,1000,1,2,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-11,2,141.67,1000,1,1,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,3,250,1500,1,1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-04-25,2,208.33,750,1,3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-11,1,216.67,1200,2,4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,2,133.33,700,1,1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-10,2,133.33,700,4,4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-21,2,133.33,1000,1,2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-12,2,116.67,1200,1,3,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-05,2,36.67,550,2,3,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-25,2,133.33,800,1,4,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-11,2,91.67,280,1,3,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-04,3,333.33,1100,1,2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-10,2,116.67,950,1,2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-13,1,58.33,250,1,2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-10,2,83.33,1000,1,2,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-30,3,333.33,1000,1,2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-27,2,116.67,650,1,2,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-08,2,166.67,700,1,2,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-15,2,116.67,700,1,3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-29,3,200,1000,1,3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-13,2,241.67,900,1,4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-25,1,100,700,1,2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,158.33,700,1,2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-27,2,166.67,450,2,1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-06,1,58.33,120,1,3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-01,2,150,800,1,2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-07,3,666.67,1220,2,3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-23,3,275,1100,1,3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-12,3,133.33,700,1,3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner
2022-05-10,2,200,800,1,3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-27,2,108.33,670,2,2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner
2022-04-30,4,666.67,1300,1,2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-06,1,83.33,190,1,2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,150,700,1,2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,1,116.67,240,1,4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-19,2,300,850,2,4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner
2022-05-26,1,150,950,1,2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-11,1,91.67,450,1,2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,2,125,800,1,2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-02,2,66.67,600,1,2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-30,3,175,800,2,2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-07-03,3,250,1100,1,2,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-16,2,250,800,1,2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-13,1,833.33,2200,2,5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
2022-06-08,2,200,950,1,1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-04-25,2,183.33,550,2,3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-04,2,200,1800,1,1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2022-05-11,2,133.33,1000,1,2,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,2,300,600,1,3,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-24,2,133.33,750,2,4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,116.67,685,2,3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-24,1,108.33,44,1,1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-06-10,4,216.67,1200,1,2,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,150,500,1,2,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-04-29,4,166.67,1110,2,2,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,200,1000,1,3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-26,2,83.33,392,1,2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-09,2,100,700,1,2,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-19,1,86.67,750,2,4,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-07,3,250,1500,1,2,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner
2022-04-29,2,150,900,1,1,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-03,1,400,710,1,1,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent
2022-05-26,1,91.67,400,1,3,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-24,1,166.67,700,1,2,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-07-03,2,250,1000,1,2,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-12,1,78.33,250,1,2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,83.33,500,1,3,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-20,2,83.33,450,2,2,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-27,3,250,1400,1,3,Super Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,83.33,500,1,1,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,2,100,700,1,1,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-04,3,300,1200,1,3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-21,2,133.33,450,1,2,Carpet Area,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-06-23,1,216.67,500,2,2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1,Contact Agent
2022-07-02,2,125,400,1,1,Carpet Area,locality,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
